type,latitude,longitude,asset_id,history,owner_type,title,art_date,company,service_manager,makers,property,description,classification,Geo Point,Geo Shape,road_segment,location
Fountain,-37.8025,144.9632,1086754,,Owned,Bali Memorial,2003,City of Melbourne,Parks Services Branch,City of Melbourne,Lincoln Square,"This fountain and landscaped site memorialises those who lost their lives or were injured by the bomb blasts that devastated Kuta, Bali, on 12 October 2002, and honours those who helped in the aftermath. It has been conceived as a place of comfort, the seating offering a place for quiet contemplation. The memorial's centrepiece is a low concrete platform in which two rectangular pools are sunk. These house 91 jets, representing the Australians who perished in the bombing; the names of the 22 Victorians killed are recorded on the sides of the fountain. The fountain's 202 lights represent all who died that night. A plaque on the eastern side of the memorial lists the names of the Australians who lost their lives. On each anniversary of the bombing, the fountain recedes to become a reflection pool.  This memorial rejuvenated an existing water feature, built on the site in the 1960s. In 1961, the Melbourne City Council began work landscaping Lincoln Square, laying paths, stone terraces, flower beds and installing an ornamental spraying fountain. It was officially opened by Councillor Brens, Chairman of the Parks and Gardens Committee on the 23rd of July, 1965. The fountain was the first work to be designed financed and installed entirely by the Melbourne City Council, at a cost of 18,000 pounds. The City Architects designed a 40 foot square pool with 150 jets forming the water sculpture. The pool is capped with Sicilian marble and Harcourt granite.  ",Sculpture,"-37.802484110270704, 144.9632428416034","{""coordinates"":[144.9632428416034,-37.802484110270704],""type"":""Point""}",,"Lincoln Square approximately 51m NW of Yahveh Asian Grocery, 600 Swanston Street, Carlton, 3053"
Fountain,-37.7976,144.9673,1091147,,Owned,Dinny O'Hearn Fountain,1981,City of Melbourne,Parks Services Branch,Unknown,,"This small cast-iron fountain is named in honour of Dinny O'Hearn, an Irish-Australian literary critic and man of letters who had a long association with the nearby University of Melbourne. O'Hearn and much of Melbourne's literary establishment of his generation has also enjoyed a long association with Jimmy Watson's, the wine bar outside of which the fountain is sited. O'Hearn died in 1993, at the age of 56.  ",Memorials,"-37.79759910577447, 144.96730652384852","{""coordinates"":[144.96730652384852,-37.79759910577447],""type"":""Point""}",Lygon Street between Faraday Street and Elgin Street,"Lygon Street between Faraday Street and Elgin Street approximately 7m North of Heartattack and Vine, 329 Lygon Street, Carlton, 3053"
Fountain,-37.8098,144.9735,1091146,,Owned,Coles Fountain,1981,City of Melbourne,Parks Services Branch,Woodward Robert,Parliament Reserve,"Sited in Parliament Gardens, his Coles Fountain is a striking counterpoint to its historical garden setting. Its stainless-steel tubing forms a geometrical frame some three metres high, from which water cascades into a shallow pool below. To `enter' the C-shaped fountain is to be virtually encircled by a curtain of water. It is set on finished bluestone paving, which reflects the geometry of the fountain.",Memorials,"-37.80977063998943, 144.97348397026266","{""coordinates"":[144.97348397026266,-37.80977063998943],""type"":""Point""}",,Parliament Reserve
Fountain,-37.8058,144.9725,1091173,,Owned,Spray Lake,1965,City of Melbourne,Arts & Culture Branch,Unknown,Carlton Gardens South,This ornamental lake in Carlton Gardens features numerous small jets of water that are set in a circle and which spray forth towards one larger central jet. The lake is bordered by a bluestone retaining wall and contains a small leafy island.,Sculpture,"-37.80580965134325, 144.97252879114416","{""coordinates"":[144.97252879114416,-37.80580965134325],""type"":""Point""}",,Carlton Gardens South
Fountain,-37.8075,144.9686,1091164,,Owned,Grant's Fountain,1901,City of Melbourne,Parks Services Branch,Unknown,Exhibition Street Reserve,"This simple fountain consists of a small waterfall joining two ponds, each with a modest water jet. Surrounded by plantings, it provides a landscaped green space on a small traffic island at this northern end of busy Exhibition Street.",Memorials,"-37.80747037586185, 144.96859332734795","{""coordinates"":[144.96859332734795,-37.80747037586185],""type"":""Point""}",,"Exhibition Street Reserve approximately 42m East of Madinah Next, 11-17 Victoria Street, Melbourne, 3000"
Sculpture,-37.8251,144.9761,1091172,,Owned,Pioneer Women's Memorial,1934,City of Melbourne,Arts & Culture Branch,Linaker Hugh,Kings Domain,"Hugh Linaker's memorial garden is set in a circular depression, with a high wall of rough masonry covering the cutting at its southern end. This formal, symmetrical garden is traversed by a watercourse in the shape of a cross, which flows into a grotto carved into the cutting. Built into the grotto is a half-cupola lined with blue tiles, under which stands the small bronze statue of a woman by the sculptor Charles Web Gilbert. The garden was built by the Public Works Department.  In 1933, the Victorian government formed an all-male Centenary Celebrations Council in preparation for Melbourne's centenary the following year. The Women's Centenary Council was formed in an attempt to give the women of the state an influential role in the celebrations. At its first meeting, this council pledged to erect a suitable memorial to Victoria's pioneer women, and fundraising initiatives were established with the aim of developing a garden of remembrance in Kings Domain. The council's initiatives included the sale of a commemorative book and `sheets of remembrance' onto which anyone, for one shilling, could inscribe their own name, or that of an ancestor. This was very successful and thousands of names were gathered and then buried beneath the sundial in the garden. The work was carried out under the auspices of the Unemployment Relief Program during the Depression.   In November 1934, Victorian premier Thomas Argyle dedicated the garden, and in June 1935, Lady Huntingfield and the president of Women's Centenary Council, Mrs I.H. Moss, unveiled two bronze plaques. ",Memorials,"-37.825114779701025, 144.97607623602647","{""coordinates"":[144.97607623602647,-37.825114779701025],""type"":""Point""}",,Kings Domain
Hitching Post,-37.815,144.9749,1091484,,Owned,Horse Hitching Post,1890,City of Melbourne,,Unknown,Treasury Gardens,"Stone hitching post set in concrete.  In the Treasury Gardens opposite Flinders Lane is an octagonal stone mounted on an octagonal base. On top of the stone is a metal ring. The inscription on the plaque informs us that this hitching post was originally set in the west kerb of Spring Street outside number 85 and is typical of hitching posts located in the streets of early Melbourne prior to 1900. The post was removed to the present site on the 26th February, 1971. ",Sculpture,"-37.81502994395132, 144.97493152226934","{""coordinates"":[144.97493152226934,-37.81502994395132],""type"":""Point""}",,"Treasury Gardens approximately 33m NE of Taxi Services Commission, Lower Ground & Level 24-25, 1 Spring Street, Melbourne, 3000"
Memorial,-37.8253,144.9716,1088238,"Following Dunlop's death in 1993, funds were raised through the Weary Dunlop Statue Appeal. The then Victorian premier, Jeff Kennett, unveiled Peter Corlett's memorial to Weary Dunlop on 15 August 1995. There is a second Weary Dunlop statue located at the Australian War Memorial, Canberra.<br><br>Born in Melbourne in 1944, Peter Corlett studied sculpture at RMIT. He has created several commemorative sculptures, including the Australian War Memorial's Simpson and His Donkey. Winning the commission for a memorial to Edward `Weary' Dunlop, Corlett produced a work that not only commemorated this extraordinary man but paid homage to all medical staff serving prisoners of war in Asia'Pacific during World War Two. The sculpture includes metal spikes that were used in the Burma'Thailand railway.<br>Weary Dunlop trained in Melbourne as a pharmacist before he turned to medicine. He then undertook surgical training in London, where he remained until the outbreak of World War Two. Dunlop joined the Medical Corps of the Australian Army. A surgeon of considerable skill, he served in a senior position in the Middle East and was then transferred to Java. In 1942, his company was captured by Japanese troops and imprisoned first inSingapore and then in Changi, Thailand. His company was sent to work on the Thai segment of the infamous Burma'Thailand railway. A natural organiser and leader, Dunlop led the first Australian prisoners of war who were to work on the line. He was a courageous leader and compassionate doctor, and restored morale in those terrible prison camps and jungle hospitals. He defied his captors, gave hope to the sick and eased the anguish of the dying.<br>After 1945 and with the war behind him, Dunlop turned his energies to healing and to building bridges; he worked towards the health and welfare of former prisoners of war and their families, and towards promoting better relations between Australia and Asia.",Owned,Sir Edward 'Weary' Dunlop,1995,City of Melbourne,Arts & Culture Branch,CORLETT Peter,Kings Domain,"Large, bronze statue of  'Weary ' Dunlop is fixed to a granite pedestal.  The statue stands above stairs constructed from ironbark railway sleepers and stone. Metal spikes from the Burma Thailand railway are used in the sculpture. On the steps leading to the sculpture are the names of other doctors and medical staff who also cared for POWs.",Sculpture,"-37.82530980334813, 144.97159425832896","{""coordinates"":[144.97159425832896,-37.82530980334813],""type"":""Point""}",,Kings Domain
Memorial,-37.8127,144.9739,1086732,,Owned,General Charles Gordon Memorial,1887,City of Melbourne,Arts & Culture Branch,"Thorneycroft, Hamo",Gordon Reserve,"This bronze statue depicts General Charles George Gordon holding his cane and Bible. In heroic style, the general stands over a shattered cannon, presumably to symbolise his ultimate triumph over the trials and tribulations of military victory and defeat. Four bronze bas-reliefs feature on the limestone base, each depicting one of four key stages in Gordon's life: his victories in China, his charitable activities in Gravesend, his governorship in Sudan and his death in Khartoum. In part, the inscription reads: `I have tried to do my duty / This is the happy warrior ' this is he that every man in arms should wish to be'.    Gordon, the `Great Christian General', was one of the most popular Englishmen of his day, and his reputation was forged on the battlefield and through his Christian activities at Gravesend. During his appointment as secretary to the viceroy of India in 1880, Gordon became unpopular with the government of the day for passionately campaigning for native rule in countries such as Botswana, South Africa and Ireland. Gordon met his death 1885, when as governor-general of the Sudan he refused to evacuate Egyptian forces from Khartoum, believing this to be unsafe.   Gordon's death was mourned throughout the British Empire. So great was the Australian public's response that a fund to produce a copy of Thornycroft's London monument for Melbourne was heavily oversubscribed. Perhaps due to oversubscription, Thornycroft produced the four reliefs for the limestone base, which are not found on the London statue. Although Gordon did not set foot on Australian soil, the monument is of great historical importance; his death prompted the dispatch of the first Australian troops overseas, a regiment from NSW. The statue was unveiled on 26 June 1889.  ",Sculpture,"-37.81272601232133, 144.97394249758733","{""coordinates"":[144.97394249758733,-37.81272601232133],""type"":""Point""}",,"Gordon Reserve approximately 56m SW of Department of Treasury and Finance, 1 Macarthur Street, East Melbourne, 3002"
Memorial,-37.7891,144.9571,1091180,,Owned,James C Roberts Memorial,1900,City of Melbourne,Arts & Culture Branch,Unknown,Royal Park,"Granite obelisk in memory of Lieutenant James C. Roberts  This austere granite obelisk was erected in memory of Lieutenant James C. Roberts, who died in the Boer War, fought between 1899 and 1902. As a child he played in Royal Park, where the memorial is located.  Dedication date: Saturday 17th February, 1900 ",Sculpture,"-37.7891381551832, 144.9570537702451","{""coordinates"":[144.9570537702451,-37.7891381551832],""type"":""Point""}",,"Royal Park approximately 59m SW of Clunies Ross Reserve, 8 The Avenue, Parkville, 3052"
Memorial,-37.8334,144.9722,1091148,,Owned,Boer War Monument,1903,City of Melbourne,Arts & Culture Branch,Irwin and Stephenson,,An obelisk adorned with a cross.  The four sandstone lions are a 1952 addition. Administered by the City of Port Phillip,Sculpture,"-37.83339205559024, 144.9722466732223","{""coordinates"":[144.9722466732223,-37.83339205559024],""type"":""Point""}",,"Approximately 84m SW of Melbourne Grammar School, Wadhurst Campus, Melbourne Grammar School, 1 Domain Road, Melbourne, 3004"
Memorial,-37.8242,144.971,1091623,,Owned,Victoria Police Memorial,2002,City of Melbourne,Parks Services Branch,"HASELL, Anton; WARD, Marcus",Kings Domain,"Grassed amphitheatre set into the edge of Kings Domain with a 3m curvilinear bluestone wall featuring four arched entry portals facing St Kilda Road. An elliptical stage features a raised replica of the Victoria Police emblem (1m diameter) constructed from various coloured stone.  Bordering the top edge of the wall is a checked pattern of Riverina granite and bluestone tiles.  The names of Police officers who died on duty are cast in bronze plaques set into the wall.  The memorial is in honour of police officers killed on duty and is a direct response to the deaths of Sergeant Gary Silk and Senior Constable Rodney Miller in 1998.  Unveiled Friday 5th July, 2002 ",Memorials,"-37.82424172908065, 144.97098228796784","{""coordinates"":[144.97098228796784,-37.82424172908065],""type"":""Point""}",,"Kings Domain approximately 73m East of Faculty Of The VCA & Music, Building 871, 204-234 St Kilda Road, Southbank, 3006"
Memorial,-37.8254,144.9759,1091178,,Owned,Tilly Aston Bell,1999,City of Melbourne,Arts & Culture Branch,HASELL Anton,Kings Domain,"Hasell's interactive sculpture consists of three connecting bells cast in bronze, and features images of Aston. When this work is approached, movement sensors trigger a series of tolls. Fittingly, the inscription on one bell is in Braille.  Tilly Aston was the first blind person in Australia to attend university, but her education was cut short by an absence of textbooks in Braille. In 1894, she established a Braille library and a year later founded the Association for the Blind, the aim of which was to improve the quality of life for the blind through self-help rather than through charity. She was responsible for gaining the blind free post for Braille and talking books, free travel on public transport and the right to vote.   This sculpture by Victorian artist Anton Hasell commemorates the centenary of the Vision Australia Foundation and the life and achievements of its founder, Tilly Aston. Formerly known as the Association for the Blind, this organisation has provided services and advocacy for people with blindness and vision impairment since 1895.   Unveiled 28 April, 1999 ",Sculpture,"-37.825371742115266, 144.9759001606588","{""coordinates"":[144.9759001606588,-37.825371742115266],""type"":""Point""}",,"Kings Domain approximately 94m East of City of Melbourne, Kings Domain, Alexandra Avenue, Melbourne, 3004"
Memorial,-37.8107,144.9537,1088154,,Owned,Separation Memorial,1950,City of Melbourne,Arts & Culture Branch,Unknown,Flagstaff Gardens,"Mixed stone sculpture including Castlemaine slate, sandstone granite and marble in layered brick-like structure.  Flagstaff Gardens is a heritage site of much significance to Melbourne. It is the oldest public gardens, the settlement's first burial site and the place at which the flag would be raised to signal an incoming ship. Flagstaff Gardens was also the site from which news of Victoria's separation from NSW was signalled to Melbourne residents through the lighting of a great bonfire. This sculpture was created to mark the centenary of the proclamation of separation. ",Sculpture,"-37.81069512351951, 144.953685866683","{""coordinates"":[144.953685866683,-37.81069512351951],""type"":""Point""}",,"Flagstaff Gardens approximately 82m NE of Haileybury City, Basement , Ground & Level 1-9, 383 King Street, West Melbourne, 3003"
Memorial,-37.8236,144.9704,1545276,,,Edmund FitzGibbon Memorial,1908,,,"White, James",,"Bronze statue of Edmund FitzGibbon depicted in a barrister's gown and wig, with Harcourt granite pedestal, 1908  James White trained as a sculptor in London before arriving in Sydney in 1884. In the early 1900s he was much in demand as a portraitist and bronze caster. His statue of Edmund FitzGibbon depicts his subject in a barrister's gown and wig, in reference to his admission to the bar in 1860, which followed several years of study while maintaining his duties as town clerk.  Edmund FitzGibbon was born in Ireland and worked as a clerk in London before immigrating to Australia in 1852. Four years later, he became Melbourne's town clerk. FitzGibbon secured several parks and gardens for the city and was instrumental in introducing tram tracks. In 1891, he became the first chair of the Melbourne Metropolitan Board of Works. This memorial was funded by public subscription and unveiled in 1908. It originally stood at the southern end of Princes Bridge, but was relocated in 1971 due to construction of the underpass. In 1983, it was relocated to Spring Street, before five years later being placed in storage. In 2003, it was sited in its current position, chosen for its proximity to the original site.",Sculpture,"-37.823612183804784, 144.97041853309003","{""coordinates"":[144.97041853309003,-37.823612183804784],""type"":""Point""}",St Kilda Road between Southbank Boulevard and Grant Street,"St Kilda Road between Southbank Boulevard and Grant Street approximately 67m North of Faculty Of The VCA & Music, Building 871, 204-234 St Kilda Road, Southbank, 3006"
Memorial,-37.8263,144.9728,1086525,,Owned,Sir Thomas Blamey Memorial,1958,City of Melbourne,Arts & Culture Branch,"EWERS, Raymond B.",Kings Domain,"One rectangular cubic pedestal realised on granite slabs fixed on concrete. Bronze inscription on front facade. Oversize 3D bronze statue of Thomas Blamey in uniform standing behind an army vehicle windscreen installed on top of pedestal. The monument was cast in six pieces, four at a foundry in London and two in Melbourne, 1959.  A memorial to Blamey was announced in 1958, although its site opposite the memorial to Sir John Monash had been reserved since 1952. There was some dispute over just what vehicle Blamey would be mounted on, with both tradition and Blamey's wife demanding a horse. Ewers won this battle and mounted his subject on a military Jeep. Sited opposite Monash, depicted on horseback and with whom Blamey had served in World War One, Ewers' statue captures the transformation of the technologies of war through this symbol of its mechanisation. In familiar military style, the plaque is a roll call of Blamey's military positions. Ewers' sculpture is one of the few pieces of traditional memorial statuary created after the 1950s. It represents a change in memorial tradition and, importantly, a decline in monumental figurative sculpture.   Sir Thomas Blamey was born near Wagga in 1884 and was the first Australian to become field marshal. He was a controversial man, who commanded much respect for his actions on the battlefield and for his willingness to challenge British and US generals, but his skills did not translate well to the civilian arena. As police commissioner of Victoria between 1925 and 1936, he was harsh in his treatment of Labor activists and the unemployed, and he resigned amid scandal when he was linked to wounding the superintendent of the Criminal Investigation Bureau. Still, Blamey was knighted in 1935 and promoted to field marshal in 1950, the year before he died. ",Sculpture,"-37.82630110126131, 144.97281890582408","{""coordinates"":[144.97281890582408,-37.82630110126131],""type"":""Point""}",,"Kings Domain approximately 93m NE of Marquis of Linlithgow Memorial Reserve, St Kilda Road, Melbourne, 3004"
Memorial,-37.8243,144.9732,1086724,,Owned,King George V Memorial,1952,City of Melbourne,Arts & Culture Branch,"BOWLES, William Leslie",Kings Domain,"Sandstone and granite fluted columns are flanked by two large bronze statues with two small heraldic sandstone statures standing north and south on a low set elliptical wall surrounding the central megalithic column. On the eastern face stands a statue of King George V in full Garter Robes, wearing the Imperial Crown and holding the ceremonial sceptre and orb.  On the western face stands a statue representing Maternal Britannia holding a cross and olive branch in her hands, symbolic of love and peace, with two children representing the Dominions and Colonies living in peace under British rule are at her feet.  Heraldic statures of a lion and a unicorn flank the northern and southern extremities of the base.  Each animal holds a shield showing the armorial bearings of King George V. The column structure is surrounded with bluestone paving slabs with a set of seven step stairs on the west and east side leading down into the parklands.  Bowles' memorial to George V is highly symbolic in design, signalling the power of the monarchy and the British Empire's paternalism towards its colonies. George came to the throne in 1910 and was more a representative of the people than a political sleuth, as had been Elizabeth I and Edward VII. The Empire underwent several changes during his rule: an independent Irish parliament was established in 1918, the country then divided along religious lines two years later, and demands for self-governance in the colonies resulted in the creation of the British Commonwealth of Nations in 1931.   King George V died in 1936. The outbreak of World War Two delayed the construction of Bowles' memorial to him, which was funded by public subscription and by council. The monument was unveiled in 1952 and underwent conservation in 1996.",Sculpture,"-37.82427267818169, 144.97321342759503","{""coordinates"":[144.97321342759503,-37.82427267818169],""type"":""Point""}",,Kings Domain
Memorial,-37.8272,144.973,1091591,,Owned,Australian Hellenic Memorial,2001,City of Melbourne,Parks Services Branch,"Sakaris, Evangelos <br>",Kings Domain South,"Situated north-east of the Shrine of Remembrance, the memorial comprises 12 three-metre-high granite columns; these create a rectangular space laid with basalt pavers with polished curved lines. This area houses a cast-bronze urn and a limestone and oikos on a bluestone base. In classical Greek tradition, the design is open, ordered and symmetrical, its form conveying a sense of contemplative calm.   The Australian Hellenic Memorial Foundation was established in 1996 to raise funds for a memorial in Kings Domain. The memorial honours the Australian and Hellenic men and women who served in Greece and in the battle of Crete during World War II, and those who lost their lives in these campaigns. Joining the allied forces on mainland Greece in 1941, the Australian Division was greatly outnumbered by enemy forces and largely fought a battle of withdrawal. Many were evacuated to Crete with British, New Zealand and Greek soldiers, but here they were defeated in an ill-fated campaign.  As well as honouring the servicemen and women, the monument has been designed to embody the ideals of democracy, liberty and peace ' ideals articulated and embraced by the United Nations at its establishment following World War II. Representing an eternal image of Australia and Greece, the memorial is intended to have relevance to current and future generations. The Hon. Bruce Scott, Minister for Veteran Affairs, and Major General Christos Tzaferos of the Hellenic Armed Forces unveiled the memorial on 2 September 2001.",Memorials,"-37.82721242566816, 144.97297393104864","{""coordinates"":[144.97297393104864,-37.82721242566816],""type"":""Point""}",,Kings Domain South
Memorial,-37.817,144.9896,1092419,,Owned,Motorcyclist Harold Parsons Memorial,1923,City of Melbourne,,Unknown,Weedon Reserve,"Sited on the reserve on the corner of Wellington Parade and Punt Road, this granite memorial was erected in 1923 by the motorcyclists of Australia and Parsons' friends. It sits on a stepped base and is inlaid with a marble plaque remembering Parsons and with a depiction of the motorcyclist.  Harold Parsons was a legend of Australian motorcycling during the early 20th century. Among his triumphs were setting the world record for the 24-hour triangular course between the Victorian towns of Sale, Stratford and Maffra, and for the Melbourne to Adelaide ride, both achieved in 1920. Parsons was killed during a test ride on 15 May 1921, when he collided with a horse on Epping Road. ",Sculpture,"-37.81704008332346, 144.98958111417957","{""coordinates"":[144.98958111417957,-37.81704008332346],""type"":""Point""}",,"Weedon Reserve approximately 33m South of 10 Wellington Parade, East Melbourne, 3002"
Memorial,-37.8283,144.974,1636851,"The sculpture  was commissioned by the Turkish sub-branch of the Victorian RSL and supported by State and Federal funding. The sculpture includes the hand-carved seeds of a Turkish pine and an Australian casuarina, representing the seeds of friendship and the future. A series of quotes on the base of the memorial highlight the bond the countries share, and steel strands form a wreath, commemorating fallen soldiers.<br><br>'The most moving aspect of the Gallipoli story and the Australian - Turkish relationship is the manner in which soldiers of both countries were able to keep their humanity in the most inhumane conditions. This humanity became the seed for the remarkable respect and dignity shown not only in battle, but which gave rise to the deep bond of friendship that is as strong and vital today as it was a century ago.'<br>Matthew Harding, Artist",Owned,Australian Turkish Friendship Memorial,2014,City of Melbourne,,"HARDING, Matthew",Kings Domain South,"To commemorate the 100 year anniversary of ANZAC day, this memorial comprises of a 4 x 4 x 4m stainless steel `wreath' form, 2 granite seed pods; a casuarina to represent Australia and a pinecone to represent Turkey, bluestone pebble mosaic with copper etched `pine needles' engraved with quotes from soldiers and family members.",Sculpture,"-37.828313799536176, 144.97398190437264","{""coordinates"":[144.97398190437264,-37.828313799536176],""type"":""Point""}",,Kings Domain South
Memorial,-37.8287,144.9741,1562328,,Owned,Maltese War Memorial,1994,City of Melbourne,,"CHESTER, Max",Kings Domain South,"An open timber structure above and panels either side pay tribute to the people of Malta, and to those who served in her defence during World War II. Also known as the Shelter of Peace.  Erected with the support of the Maltese and Australian governments, the City of Melbourne, and ANPAS Group (Frank R Gatt), Calleja Transport, Econo Mix, Mid Med Bank, Olex Cables, Plamer Tube Mills, Sims Metal, Smorgon Arc, Chasmic PTY LTD and the Maltese Australian Association.  Designed by Max Chester. ",Memorials,"-37.82871122068199, 144.9741444132895","{""coordinates"":[144.9741444132895,-37.82871122068199],""type"":""Point""}",,Kings Domain South
Memorial,-37.8137,144.9764,1086733,,Owned,John F. Kennedy Memorial,1965,City of Melbourne,Arts & Culture Branch,"EWERS, Raymond B.",Treasury Gardens,"Bronze bas relief head set in a granite boulder. Decorated with natural rocks, plants and slate surroundings. An official war artist, Ewers produced many fine memorials in the wake of the war, including the Drouin War Memorial, the Kakoda Memorial in Papua New Guinea and the Sir Thomas Blamey Memorial in Melbourne. Raymond Ewers said of his portrait, ""Different people remember President Kennedy at different periods in his life. I chose to depict him worried and serious as he was shortly before his death.""  Following the 1963 slaying of John F. Kennedy, Ewers was commissioned to cast a bronze portrait of the former US president. This was set in a granite boulder and sited in the tranquil Japanese Gardens within Treasury Gardens. The superintendent of Parks & Gardens and the city architect were responsible for site design and installation, which included remodelling the ornamental lake and building a bridge to the island where the monument would form the centrepiece. A paved area and a bronze flagpole were added, with the intention of reflecting Kennedy's final resting place at Arlington.   John Fitzgerald Kennedy was something of a new breed of US politician. Born to a wealthy family with political pedigree, he was the youngest man ever elected president, and he brought vibrancy to government that gave hope to many Americans. Kennedy was sworn in as president in January 1961, calling his campaign `The New Frontier'. Besides averting a nuclear war with the Soviets over the 1962 Cuban missile crisis, his administration spearheaded many progressive causes. While riding in an open-top limousine through the streets of Dallas, Texas, Kennedy was shot and killed by Lee Harvey Oswald on 22 November 1963.   This memorial is particularly significant for being a rare monument to an American. Memorials to prominent British figures attest to Australia's links with the British Empire, but ours is not a society to commemorate with such solemnity its alliances with the US. One of the memorial's plaques reads: `This memorial signifies the grateful recognition / by the citizens of this city for the service / given by John F. Kennedy / as President of the United States of America / 1961'1963'.",Memorials,"-37.81365974522775, 144.9763544710972","{""coordinates"":[144.9763544710972,-37.81365974522775],""type"":""Point""}",,"Treasury Gardens approximately 79m SE of Department Of Education & Early Childhood Developm, Department of Education, 2 Treasury Place, East Melbourne, 3002"
Memorial,-37.8268,144.9728,1086735,,Owned,Sir John Monash,1950,City of Melbourne,Arts & Culture Branch,"BOWLES, William Leslie",Kings Domain,"Bronze statue of Sir John Monash in an equestrian pose, on a granite plinth.  A monument to Monash was proposed in 1932, the year after his death. It was funded by Melbourne City Council and public subscription. While designed by Bowles, the bronze was cast in Italy. But due to the outbreak of World War Two it was not completed until 1950.  It was finally unveiled on 12th November 1950 by the Governor General, William J. McKell. The Governor, Sir Dallas Brooks, the Prime Minister, Robert Menzies, and Monash 's daughter, Mrs Gershon Bennett were also in attendance.   John Monash was born in Melbourne in 1865. He obtained degrees in arts, law and engineering from the University of Melbourne, and worked on construction projects before the outbreak of World War One. Monash commanded the 4th Infantry Brigade at Gallipoli and then the 3rd Division in Armentières, France. In recognition of his military prowess and leadership skills, he was promoted to lieutenant general in 1918, commanding the Australian Army Corps. Following the war, Monash became general manager of the State Electricity Commission, and was instrumental in developing the brown-coal deposits of the Yallourn fields, Gippsland. He also served as the vice-chancellor of the University of Melbourne.  Unveiled 12 November 1950",Sculpture,"-37.826773338974526, 144.972752128938","{""coordinates"":[144.972752128938,-37.826773338974526],""type"":""Point""}",,"Kings Domain approximately 79m East of Marquis of Linlithgow Memorial Reserve, St Kilda Road, Melbourne, 3004"
Memorial Drinking Fountain,-37.8196,144.9718,1086579,,Owned,Black Swan Memorial Drinking Fountain,1974,City of Melbourne,Parks Services Branch,"EWERS, Raymond B.",Alexandra Park,"Also known as Cookie Memorial Drinking Fountain. This cube-shaped, bluestone drinking fountain produced in diagonally cut stone features a bronze plaque with a raised image of Cookie (a black swan) and dedicatory inscription.  Raymond Ewers was born in Wyalong, NSW, and studied sculpture at RMIT, Melbourne. In 1974 he produced this fountain in memory of a black swan named Cookie, which frequented the Alexandra Gardens for many years and was well known to the public and accidentally killed on 16th May, 1972. ",Memorials,"-37.819570574442366, 144.97182443644516","{""coordinates"":[144.97182443644516,-37.819570574442366],""type"":""Point""}",,Alexandra Park
Memorial Drinking Fountain,-37.8028,144.9664,1091292,,Owned,William Ievers (Snr) Memorial Drinking Fountain,1915,City of Melbourne,Parks Services Branch,"Richardson, Charles Douglas",Argyle Square,"Shrine like architectural structure surmounted by life size bust of William Ievers. Architecture structure: bluestone steps grey Harcourt & red Finland granite.  Bust: white marble. Drinking element in base, under canopy.  Richardson sculpted three memorial fountains dedicated to the Ievers family, who donated them to the community in thanks for its support. William Jnr (1881-95), William Snr (1895-1901) and George Hawkins (1901-21) consecutively represented the Smith Ward over a period of 40 years. George Ievers proposed the fountains in 1913 as part of a beautification scheme coordinated by the Parks & Gardens Committee, of which he was a member. This was the first of the three memorials to be unveiled, which took place in August 1919. ",Memorials,"-37.802834190764166, 144.96638556021273","{""coordinates"":[144.96638556021273,-37.802834190764166],""type"":""Point""}",,Argyle Square
Sculpture,-37.8259,144.9719,1086589,,Owned,South African War Memoria,1904,City of Melbourne,Arts & Culture Branch,"HAMILTON, Joseph",Kings Domain,"Also known as: South African War Memorial (Monument to the 5th Victorian Contingent) or Victorian Mounted Rifles Memorial  The monument consists of a dressed sandstone upper section resembling a buttressed church spire, with four bronze plaques commemorating the fallen soldiers of the 5th Victorian Contingent. This sits on a rough faced Basalt plinth. The monument is triangular with one face oriented due west, as is common with memorials to lost soldiers. Unveiled 28 May 1904  The Boer War, or South African War, was fought from 1899 to 1902, the British pitted against the Boers (now called Afrikaners). Many opposed Britain's policy, and in Australia many questioned why the nation should be involved. Nevertheless, loyalty to Empire ruled and 16,000 troops were sent, almost a quarter from Victoria. The 5th Victorian Contingent was the largest of eight sent by the state. Some 228 Victorians were killed during the war, which ended with the signing of the Treaty of Vereeniging in May 1902.   Following the return of soldiers, the remaining members of the 5th Victorian Contingent erected this monument to honour their fallen comrades. It is a secular memorial, with traditional funerary symbolism on an elaborate and Gothic scale. Four bronze plaques commemorate the soldiers and in part the text reads: `Unveiled by members of the 5th Victorian Contingent VMR / in memory of their fallen comrades in South Africa 1901'1902 / Honour the brave / King and Empire / Lest we forget / AD 1903'. One face of the monument is oriented due west, as is common with memorials to lost soldiers.   The monument was originally constructed opposite the Victoria Barracks, on St Kilda Road, but was relocated in 1965. In 1911, it was decided that a memorial would be erected to all Australians who perished during the war; the Boer War Memorial is located nearby and now administered by the City of Port Phillip.",Sculpture,"-37.82594145408015, 144.9718567903399","{""coordinates"":[144.9718567903399,-37.82594145408015],""type"":""Point""}",,"Kings Domain approximately 80m North of Marquis of Linlithgow Memorial Reserve, St Kilda Road, Melbourne, 3004"
